k_hMpc,P_LCDM,P_convA,P_convB,T_k,dsigma2_dlnk
1.000000000000000048e-04,4.216319654191665904e+02,4.216319654191665904e+02,4.216319654191665904e+02,1.000000000000000000e+00,2.136012218612748372e-11
1.003460715821765650e-04,4.230391216512068127e+02,4.230391216512068127e+02,4.230391216512068127e+02,1.000000000000000000e+00,2.165468444827834848e-11
1.006933408197530414e-04,4.244509684620412031e+02,4.244509684620412031e+02,4.244509684620412031e+02,1.000000000000000000e+00,2.195330857755049214e-11
1.010418118574743924e-04,4.258675216477886352e+02,4.258675216477886352e+02,4.258675216477886352e+02,1.000000000000000000e+00,2.225605050865673324e-11
1.013914888544294223e-04,4.272887970588915891e+02,4.272887970588915891e+02,4.272887970588915891e+02,1.000000000000000000e+00,2.256296704297826356e-11
1.017423759841003017e-04,4.287148106003079988e+02,4.287148106003079988e+02,4.287148106003079988e+02,1.000000000000000000e+00,2.287411577268909593e-11
1.020944774344125227e-04,4.301455782317181047e+02,4.301455782317181047e+02,4.301455782317181047e+02,1.000000000000000000e+00,2.318955503091099101e-11
1.024477974077846767e-04,4.315811159676995317e+02,4.315811159676995317e+02,4.315811159676995317e+02,1.000000000000000000e+00,2.350934400742087392e-11
1.028023401211788435e-04,4.330214398779366434e+02,4.330214398779366434e+02,4.330214398779366434e+02,1.000000000000000000e+00,2.383354269932695265e-11
1.031581098061507213e-04,4.344665660874089212e+02,4.344665660874089212e+02,4.344665660874089212e+02,1.000000000000000000e+00,2.416221188858579711e-11
1.035151107089002999e-04,4.359165107765837206e+02,4.359165107765837206e+02,4.359165107765837206e+02,1.000000000000000000e+00,2.449541325923450177e-11
1.038733470903224120e-04,4.373712901811895222e+02,4.373712901811895222e+02,4.373712901811895222e+02,1.000000000000000000e+00,2.483320929160563318e-11
1.042328232260576493e-04,4.388309205142655287e+02,4.388309205142655287e+02,4.388309205142655287e+02,1.000000000000000000e+00,2.517566334754368687e-11
1.045935434065433750e-04,4.402954178745695231e+02,4.402954178745695231e+02,4.402954178745695231e+02,1.000000000000000000e+00,2.552283969954069237e-11
1.049555119370649246e-04,4.417647983918267869e+02,4.417647983918267869e+02,4.417647983918267869e+02,1.000000000000000000e+00,2.587480337491353206e-11
1.053187331378070246e-04,4.432390782486027661e+02,4.432390782486027661e+02,4.432390782486027661e+02,1.000000000000000000e+00,2.623162044624691628e-11
1.056832113439053596e-04,4.447182736804584238e+02,4.447182736804584238e+02,4.447182736804584238e+02,1.000000000000000000e+00,2.659335778241203187e-11
1.060489509054982077e-04,4.462024009761494199e+02,4.462024009761494199e+02,4.462024009761494199e+02,1.000000000000000000e+00,2.696008325396540472e-11
1.064159561877784819e-04,4.476914764777705500e+02,4.476914764777705500e+02,4.476914764777705500e+02,1.000000000000000000e+00,2.733186562555107782e-11
1.067842315710458670e-04,4.491855165809445225e+02,4.491855165809445225e+02,4.491855165809445225e+02,1.000000000000000000e+00,2.770877464838002729e-11
1.071537814507588475e-04,4.506845377349835644e+02,4.506845377349835644e+02,4.506845377349835644e+02,1.000000000000000000e+00,2.809088095135502494e-11
1.075246102375875082e-04,4.521885564430708655e+02,4.521885564430708655e+02,4.521885564430708655e+02,1.000000000000000000e+00,2.847825619181297635e-11
1.078967223574659015e-04,4.536975892624233211e+02,4.536975892624233211e+02,4.536975892624233211e+02,1.000000000000000000e+00,2.887097309233443233e-11
1.082701222516450510e-04,4.552116528044809911e+02,4.552116528044809911e+02,4.552116528044809911e+02,1.000000000000000000e+00,2.926910524372414672e-11
1.086448143767458066e-04,4.567307637350613732e+02,4.567307637350613732e+02,4.567307637350613732e+02,1.000000000000000000e+00,2.967272728605313406e-11
